LAD20NM,Group Name
Barrow-in-Furness,"['Public administration and security'
 'Manufacturing, energy and utilities' 'Traditional high streets'
 'Market squares' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Business parks'
 'Large scale education' 'Non-metropolitan suburban areas'
 'Town fringe countryside ' 'Rural with mining or quarrying'
 'Healthcare and public administration' 'Primarily residential suburbs']"
Basildon,"['Market squares' 'Eat, drink and be merry' 'Traditional high streets'
 'Regional business centres' 'Business parks'
 'Manufacturing, energy and utilities' 'Shop until you drop'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Industrial units' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Science and business parks'
 'Public administration and security' 'Traditional countryside'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Accessible countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs']"
Basingstoke and Deane,"['Rural with mining or quarrying' 'Science and business parks'
 'Eat, drink and be merry' 'Regional business centres'
 'Large scale education' 'Multiethnic urban high streets'
 'Healthcare and public administration'
 'Public administration and security' 'Traditional high streets'
 'Shop until you drop' 'Business parks' 'Low density wholesale and retail'
 'Accessible countryside' 'Industrial units'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Market squares' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries']"
Bassetlaw,"['Mining and quarrying facilities' 'Traditional high streets'
 'Market squares' 'Public administration and security'
 'Rural with mining or quarrying' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Healthcare and public administration'
 'Industrial units' 'Large scale education'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Low density wholesale and retail' 'Accessible countryside'
 'Traditional countryside']"
Bath and North East Somerset,"['Eat, drink and be merry' 'Shop until you drop'
 'Low density wholesale and retail' 'Regional business centres'
 'Healthcare and public administration' 'Traditional high streets'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Industrial units' 'Big city life'
 'Large scale education' 'Mining and quarrying facilities'
 'Market squares' 'Business parks' 'Accessible countryside'
 'Global business' 'Traditional countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs' 'Administrative centres '
 'Rural with mining or quarrying' 'Town fringe countryside ']"
Bedford,"['Eat, drink and be merry' 'Science and business parks'
 'Regional business centres' 'Administrative centres '
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Metro suburban distribution industries' 'Industrial units'
 'Teachers and carers in metro suburbs' 'Large scale education'
 'Business parks' 'Public administration and security'
 'Accessible countryside' 'Manufacturing, energy and utilities'
 'Shop until you drop' 'Mining and quarrying facilities' 'Big city life'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Non-metropolitan suburban areas']"
Bexley,"['Industrial units' 'Large scale education'
 'Metro suburban distribution industries'
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Science and business parks' 'Shop until you drop'
 'Eat, drink and be merry' 'Business parks'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Administrative centres ' 'Mining and quarrying facilities'
 'Regional business centres' 'Big city life'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Public administration and security' 'Non-metropolitan suburban areas'
 'Accessible countryside']"
Birmingham,"['Industrial units' 'Metro suburban distribution industries'
 'Administrative centres ' 'Multiethnic urban high streets'
 'Science and business parks' 'Healthcare and public administration'
 'Regional business centres' 'Public administration and security'
 'Big city life' 'Large scale education' 'Shop until you drop'
 'Business parks' 'Eat, drink and be merry' 'Global business'
 'Low density wholesale and retail' 'Teachers and carers in metro suburbs'
 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Rural with mining or quarrying'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Non-metropolitan suburban areas' 'Mining and quarrying facilities'
 'Independent professional metro services']"
Blaby,"['Industrial units' 'Business parks' 'Regional business centres'
 'Shop until you drop' 'Public administration and security'
 'Science and business parks' 'Mining and quarrying facilities'
 'Healthcare and public administration' 'Rural with mining or quarrying'
 'Metro suburban distribution industries' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Multiethnic urban high streets'
 'Town fringe countryside ' 'Accessible countryside']"
Blackburn with Darwen,"['Industrial units' 'Business parks' 'Multiethnic urban high streets'
 'Healthcare and public administration'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Shop until you drop'
 'Eat, drink and be merry' 'Regional business centres'
 'Traditional high streets' 'Market squares' 'Large scale education'
 'Metro suburban distribution industries'
 'Mining and quarrying facilities' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Accessible countryside'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs' 'Traditional countryside'
 'Town fringe countryside ' 'Rural with mining or quarrying']"
Blackpool,"['Non-metropolitan suburban areas' 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Public administration and security'
 'Business parks' 'Large scale education'
 'Mining and quarrying facilities' 'Town fringe countryside '
 'Traditional high streets' 'Market squares'
 'Professional home-workers in outer suburbs'
 'Primarily residential suburbs' 'Multiethnic urban high streets'
 'Rural with mining or quarrying']"
Bolsover,"['Town fringe countryside ' 'Business parks'
 'Public administration and security' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Low density wholesale and retail'
 'Market squares' 'Large scale education']"
Bolton,"['Multiethnic urban high streets' 'Business parks'
 'Mining and quarrying facilities' 'Science and business parks'
 'Industrial units' 'Manufacturing, energy and utilities'
 'Shop until you drop' 'Eat, drink and be merry'
 'Healthcare and public administration'
 'Public administration and security' 'Regional business centres'
 'Traditional high streets' 'Large scale education'
 'Metro suburban distribution industries'
 'Low density wholesale and retail' 'Market squares'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Teachers and carers in metro suburbs' 'Accessible countryside'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Town fringe countryside ']"
Boston,"['Healthcare and public administration' 'Multiethnic urban high streets'
 'Rural with mining or quarrying' 'Mining and quarrying facilities'
 'Market squares' 'Low density wholesale and retail'
 'Traditional high streets' 'Manufacturing, energy and utilities'
 'Town fringe countryside ' 'Public administration and security'
 'Accessible countryside' 'Non-metropolitan suburban areas'
 'Large scale education' 'Traditional countryside']"
"Bournemouth, Christchurch and Poole","['Eat, drink and be merry' 'Shop until you drop'
 'Traditional high streets' 'Regional business centres'
 'Large scale education' 'Big city life'
 'Public administration and security'
 'Professional home-workers in outer suburbs' 'Industrial units'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Market squares' 'Business parks'
 'Science and business parks' 'Low density wholesale and retail'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Multiethnic urban high streets' 'Primarily residential suburbs'
 'Traditional countryside' 'Accessible countryside'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs'
 'Independent professional metro services'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Town fringe countryside ']"
Bracknell Forest,"['Accessible countryside' 'Science and business parks'
 'Healthcare and public administration' 'Business parks'
 'Industrial units' 'Public administration and security'
 'Shop until you drop' 'Regional business centres'
 'Multiethnic urban high streets' 'Primarily residential suburbs'
 'Independent professional metro services'
 'Professional home-workers in outer suburbs' 'Large scale education'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Low density wholesale and retail']"
Bradford,"['Business parks' 'Industrial units' 'Traditional high streets'
 'Market squares' 'Healthcare and public administration'
 'Regional business centres' 'Science and business parks'
 'Large scale education' 'Eat, drink and be merry'
 'Public administration and security' 'Shop until you drop'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Multiethnic urban high streets' 'Metro suburban distribution industries'
 'Accessible countryside' 'Teachers and carers in metro suburbs'
 'Big city life' 'Administrative centres ' 'Traditional countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Town fringe countryside '
 'Self-employed tradespeople in multicultural metro suburbs'
 'Rural with mining or quarrying'
 'Professional home-workers in outer suburbs']"
Braintree,"['Healthcare and public administration'
 'Public administration and security' 'Business parks' 'Market squares'
 'Traditional high streets' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Traditional countryside'
 'Town fringe countryside ' 'Accessible countryside' 'Industrial units'
 'Regional business centres' 'Multiethnic urban high streets'
 'Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas']"
Breckland,"['Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Market squares' 'Public administration and security'
 'Accessible countryside' 'Industrial units' 'Traditional high streets'
 'Business parks' 'Traditional countryside'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Non-metropolitan suburban areas' 'Large scale education'
 'Multiethnic urban high streets' 'Mining and quarrying facilities'
 'Primarily residential suburbs']"
Brent,"['Industrial units' 'Science and business parks' 'Administrative centres '
 'Teachers and carers in metro suburbs' 'Shop until you drop'
 'Metro suburban distribution industries' 'Big city life'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Independent professional metro services']"
Brentwood,"['Traditional high streets' 'Eat, drink and be merry'
 'Large scale education' 'Public administration and security'
 'Regional business centres' 'Multiethnic urban high streets'
 'Science and business parks' 'Accessible countryside' 'Industrial units'
 'Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Business parks'
 'Primarily residential suburbs' 'Traditional countryside'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries'
 'Non-metropolitan suburban areas']"
Brighton and Hove,"['Eat, drink and be merry' 'Independent professional metro services'
 'Healthcare and public administration' 'Industrial units'
 'Regional business centres' 'Large scale education'
 'Public administration and security' 'Low density wholesale and retail'
 'Administrative centres ' 'Shop until you drop' 'Big city life'
 'Multiethnic urban high streets' 'Metro suburban distribution industries'
 'Mining and quarrying facilities' 'Business parks'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Traditional countryside' 'Accessible countryside'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Science and business parks'
 'Self-employed tradespeople in multicultural metro suburbs']"
"Bristol, City of","['Teachers and carers in metro suburbs'
 'Manufacturing, energy and utilities' 'Business parks'
 'Mining and quarrying facilities' 'Industrial units'
 'Multiethnic urban high streets' 'Public administration and security'
 'Regional business centres' 'Large scale education'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Administrative centres ' 'Big city life' 'Shop until you drop'
 'Healthcare and public administration' 'Market squares'
 'Metro suburban distribution industries' 'Science and business parks'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Accessible countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Independent professional metro services' 'Town fringe countryside ']"
Broadland,"['Town fringe countryside ' 'Mining and quarrying facilities'
 'Public administration and security' 'Large scale education'
 'Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Business parks'
 'Low density wholesale and retail' 'Accessible countryside'
 'Traditional countryside' 'Rural with mining or quarrying'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas']"
Bromley,"['Business parks' 'Large scale education' 'Regional business centres'
 'Administrative centres ' 'Multiethnic urban high streets'
 'Shop until you drop' 'Big city life'
 'Independent professional metro services'
 'Healthcare and public administration' 'Global business'
 'Science and business parks' 'Eat, drink and be merry' 'Industrial units'
 'Traditional high streets' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Accessible countryside'
 'Primarily residential suburbs' 'Rural with mining or quarrying'
 'Traditional countryside']"
Bromsgrove,"['Accessible countryside' 'Industrial units'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Business parks' 'Large scale education' 'Traditional high streets'
 'Healthcare and public administration'
 'Public administration and security' 'Market squares'
 'Eat, drink and be merry' 'Regional business centres'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Town fringe countryside ' 'Multiethnic urban high streets'
 'Professional home-workers in outer suburbs']"
Broxbourne,"['Large scale education' 'Public administration and security'
 'Science and business parks' 'Multiethnic urban high streets'
 'Business parks' 'Shop until you drop' 'Mining and quarrying facilities'
 'Industrial units' 'Manufacturing, energy and utilities' 'Big city life'
 'Primarily residential suburbs' 'Teachers and carers in metro suburbs'
 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Rural with mining or quarrying' 'Metro suburban distribution industries'
 'Healthcare and public administration' 'Accessible countryside'
 'Traditional countryside' 'Independent professional metro services']"
Broxtowe,"['Business parks' 'Low density wholesale and retail'
 'Eat, drink and be merry' 'Industrial units' 'Science and business parks'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Market squares' 'Healthcare and public administration'
 'Traditional high streets' 'Mining and quarrying facilities'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Rural with mining or quarrying' 'Public administration and security'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Multiethnic urban high streets'
 'Metro suburban distribution industries' 'Town fringe countryside ']"
Buckinghamshire,"['Regional business centres' 'Healthcare and public administration'
 'Traditional high streets' 'Shop until you drop'
 'Multiethnic urban high streets' 'Public administration and security'
 'Low density wholesale and retail' 'Eat, drink and be merry'
 'Market squares' 'Business parks' 'Industrial units'
 'Science and business parks' 'Accessible countryside'
 'Manufacturing, energy and utilities' 'Big city life'
 'Large scale education' 'Independent professional metro services'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Rural with mining or quarrying'
 'Administrative centres ' 'Primarily residential suburbs'
 'Traditional countryside'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs' 'Town fringe countryside '
 'Non-metropolitan suburban areas']"
Burnley,"['Mining and quarrying facilities' 'Manufacturing, energy and utilities'
 'Public administration and security' 'Traditional high streets'
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Business parks' 'Low density wholesale and retail' 'Shop until you drop'
 'Market squares' 'Large scale education' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Industrial units'
 'Metro suburban distribution industries' 'Traditional countryside'
 'Town fringe countryside ' 'Accessible countryside']"
Bury,"['Manufacturing, energy and utilities' 'Multiethnic urban high streets'
 'Eat, drink and be merry' 'Large scale education'
 'Regional business centres' 'Healthcare and public administration'
 'Public administration and security' 'Low density wholesale and retail'
 'Market squares' 'Industrial units' 'Shop until you drop'
 'Traditional high streets' 'Science and business parks' 'Business parks'
 'Mining and quarrying facilities' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Accessible countryside' 'Traditional countryside'
 'Professional home-workers in outer suburbs'
 'Metro suburban distribution industries' 'Administrative centres '
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Calderdale,"['Traditional high streets' 'Industrial units' 'Market squares'
 'Manufacturing, energy and utilities' 'Low density wholesale and retail'
 'Mining and quarrying facilities' 'Business parks'
 'Multiethnic urban high streets' 'Healthcare and public administration'
 'Eat, drink and be merry' 'Metro suburban distribution industries'
 'Public administration and security' 'Shop until you drop'
 'Regional business centres' 'Traditional countryside'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Accessible countryside'
 'Professional home-workers in outer suburbs' 'Large scale education'
 'Town fringe countryside ']"
Cambridge,"['Industrial units' 'Shop until you drop'
 'Public administration and security'
 'Manufacturing, energy and utilities' 'Business parks'
 'Independent professional metro services' 'Regional business centres'
 'Science and business parks' 'Administrative centres '
 'Healthcare and public administration' 'Large scale education'
 'Big city life' 'Eat, drink and be merry'
 'Low density wholesale and retail'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Accessible countryside'
 'Non-metropolitan suburban areas' 'Multiethnic urban high streets'
 'Primarily residential suburbs']"
Camden,"['Big city life' 'Global business' 'Administrative centres '
 'Shop until you drop' 'Metro suburban distribution industries'
 'Science and business parks' 'Independent professional metro services'
 'Industrial units' 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs']"
Cannock Chase,"['Public administration and security'
 'Manufacturing, energy and utilities' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Industrial units'
 'Traditional high streets' 'Multiethnic urban high streets'
 'Business parks' 'Market squares' 'Town fringe countryside '
 'Healthcare and public administration' 'Primarily residential suburbs'
 'Rural with mining or quarrying' 'Non-metropolitan suburban areas'
 'Large scale education' 'Traditional countryside']"
Canterbury,"['Public administration and security' 'Large scale education'
 'Regional business centres' 'Healthcare and public administration'
 'Business parks' 'Low density wholesale and retail'
 'Traditional high streets' 'Market squares' 'Accessible countryside'
 'Manufacturing, energy and utilities' 'Shop until you drop'
 'Eat, drink and be merry' 'Administrative centres '
 'Multiethnic urban high streets' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Non-metropolitan suburban areas' 'Traditional countryside'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Mining and quarrying facilities' 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries']"
Carlisle,"['Low density wholesale and retail' 'Mining and quarrying facilities'
 'Manufacturing, energy and utilities'
 'Public administration and security' 'Market squares'
 'Healthcare and public administration' 'Eat, drink and be merry'
 'Traditional high streets' 'Large scale education' 'Business parks'
 'Rural with mining or quarrying' 'Town fringe countryside '
 'Traditional countryside' 'Non-metropolitan suburban areas'
 'Primarily residential suburbs' 'Accessible countryside']"
Castle Point,"['Market squares' 'Traditional high streets' 'Eat, drink and be merry'
 'Manufacturing, energy and utilities' 'Town fringe countryside '
 'Business parks' 'Low density wholesale and retail'
 'Primarily residential suburbs' 'Healthcare and public administration'
 'Non-metropolitan suburban areas'
 'Metro suburban distribution industries' 'Large scale education'
 'Rural with mining or quarrying' 'Traditional countryside']"
Central Bedfordshire,"['Manufacturing, energy and utilities'
 'Healthcare and public administration' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Market squares' 'Industrial units'
 'Administrative centres ' 'Science and business parks'
 'Accessible countryside' 'Rural with mining or quarrying'
 'Mining and quarrying facilities' 'Business parks'
 'Public administration and security' 'Traditional high streets'
 'Non-metropolitan suburban areas'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Shop until you drop' 'Primarily residential suburbs'
 'Large scale education' 'Traditional countryside'
 'Town fringe countryside ' 'Professional home-workers in outer suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Teachers and carers in metro suburbs']"
Charnwood,"['Multiethnic urban high streets' 'Manufacturing, energy and utilities'
 'Industrial units' 'Business parks' 'Mining and quarrying facilities'
 'Public administration and security' 'Science and business parks'
 'Healthcare and public administration' 'Shop until you drop'
 'Traditional high streets' 'Large scale education' 'Market squares'
 'Eat, drink and be merry' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Accessible countryside'
 'Metro suburban distribution industries'
 'Teachers and carers in metro suburbs' 'Rural with mining or quarrying'
 'Town fringe countryside ' 'Low density wholesale and retail'
 'Professional home-workers in outer suburbs' 'Traditional countryside']"
Chelmsford,"['Accessible countryside' 'Manufacturing, energy and utilities'
 'Business parks' 'Traditional high streets'
 'Public administration and security' 'Large scale education'
 'Healthcare and public administration' 'Regional business centres'
 'Shop until you drop' 'Industrial units' 'Science and business parks'
 'Big city life' 'Eat, drink and be merry'
 'Multiethnic urban high streets' 'Market squares'
 'Low density wholesale and retail' 'Town fringe countryside '
 'Traditional countryside' 'Rural with mining or quarrying'
 'Non-metropolitan suburban areas' 'Primarily residential suburbs'
 'Professional home-workers in outer suburbs'
 'Independent professional metro services']"
Cheltenham,"['Shop until you drop' 'Traditional high streets'
 'Eat, drink and be merry' 'Public administration and security'
 'Low density wholesale and retail' 'Regional business centres'
 'Science and business parks' 'Large scale education' 'Business parks'
 'Healthcare and public administration'
 'Manufacturing, energy and utilities' 'Industrial units'
 'Mining and quarrying facilities' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Teachers and carers in metro suburbs'
 'Multiethnic urban high streets' 'Rural with mining or quarrying'
 'Accessible countryside' 'Traditional countryside'
 'Professional home-workers in outer suburbs']"
Cherwell,"['Public administration and security' 'Business parks'
 'Mining and quarrying facilities' 'Industrial units'
 'Manufacturing, energy and utilities' 'Traditional high streets'
 'Shop until you drop' 'Multiethnic urban high streets'
 'Eat, drink and be merry' 'Low density wholesale and retail'
 'Healthcare and public administration' 'Market squares'
 'Science and business parks' 'Accessible countryside'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Teachers and carers in metro suburbs'
 'Self-employed tradespeople in multicultural metro suburbs'
 'Metro suburban distribution industries' 'Large scale education'
 'Professional home-workers in outer suburbs']"
Cheshire East,"['Rural with mining or quarrying' 'Market squares'
 'Manufacturing, energy and utilities' 'Traditional high streets'
 'Public administration and security' 'Business parks'
 'Mining and quarrying facilities' 'Large scale education'
 'Low density wholesale and retail' 'Healthcare and public administration'
 'Industrial units' 'Eat, drink and be merry' 'Science and business parks'
 'Traditional countryside' 'Regional business centres'
 'Primarily residential suburbs' 'Accessible countryside'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Teachers and carers in metro suburbs'
 'Metro suburban distribution industries' 'Multiethnic urban high streets'
 'Professional home-workers in outer suburbs' 'Administrative centres ']"
Cheshire West and Chester,"['Market squares' 'Business parks' 'Public administration and security'
 'Regional business centres' 'Eat, drink and be merry'
 'Low density wholesale and retail' 'Traditional high streets'
 'Large scale education' 'Manufacturing, energy and utilities'
 'Science and business parks' 'Accessible countryside'
 'Healthcare and public administration' 'Multiethnic urban high streets'
 'Mining and quarrying facilities' 'Industrial units'
 'Rural with mining or quarrying' 'Traditional countryside'
 'Primarily residential suburbs' 'Non-metropolitan suburban areas'
 'Professional home-workers in outer suburbs'
 'Teachers and carers in metro suburbs' 'Town fringe countryside ']"
Chesterfield,"['Public administration and security'
 'Healthcare and public administration' 'Industrial units'
 'Business parks' 'Mining and quarrying facilities'
 'Low density wholesale and retail' 'Manufacturing, energy and utilities'
 'Large scale education' 'Traditional high streets' 'Market squares'
 'Multiethnic urban high streets' 'Eat, drink and be merry'
 'Non-metropolitan suburban areas' 'Town fringe countryside '
 'Rural with mining or quarrying' 'Primarily residential suburbs'
 'Metro suburban distribution industries' 'Traditional countryside']"
Chichester,"['Accessible countryside' 'Shop until you drop' 'Traditional high streets'
 'Eat, drink and be merry' 'Public administration and security'
 'Large scale education' 'Business parks' 'Regional business centres'
 'Market squares' 'Manufacturing, energy and utilities'
 'Low density wholesale and retail' 'Rural with mining or quarrying'
 'Industrial units' 'Mining and quarrying facilities'
 'Traditional countryside' 'Professional home-workers in outer suburbs'
 'Town fringe countryside ' 'Primarily residential suburbs'
 'Non-metropolitan suburban areas' 'Healthcare and public administration']"
